wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-8.wav|What do you want to know?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-89.wav|Excuse me. I was lecturing you. I shouldn't have. You should consult a medical professional if you feel that you need help. You can use the radio in my Kineema to call your station's lazareth.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-95.wav|Not a fan. It's just the nature of lieutenancy.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-99.wav|Fine. We should get through the day first. Off-hours begin at 21:00. If you're still having trouble then, I can give you an orientation.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-103.wav|You don't know?. I assumed you were in on it.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-107.wav|Better still than an imbecilic Cop Off.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-108.wav|It's just stupidity. We shouldn't waste any more time on it. If you want my take, ask me after we've inspected the victim.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-122.wav|What's there to say? It's just stupidity.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-126.wav|Good.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-134.wav|Later.. Was there anything else you wanted to know about the case?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-158.wav|Yes. I'm an unrepentant spoilsport.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-161.wav|Well, technically,. The official record keeper has been known to double-count murder-suicides.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-164.wav|I'm good enough for this case. I'm not here to compete. I came because I had to. My fellow officers, the sergeants, in particular, would have made this scene into a circus.
wavs/fixed-Kim Kitsuragi-WHIRLING  KIM MAIN-172.wav|Martinaise? Nothing. It's just a puddle at the end of some drainpipe. No one cares about this place, they care about sports. Most of our colleagues don't even know how to get here. North of the Interchange doesn't exist.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-174.wav|Hmm...
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-184.wav|Okay.. Style me.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-190.wav|I don't need a patrol cap.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-193.wav|Okay, maybe I do.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-198.wav|In the New, twenty years ago. It's what a modern cop looked like then.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-200.wav|No I don't. I used to. Plain clothes did the trick. For both of us, it seems.. Now...
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-207.wav|Really?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-210.wav|It can't be that...
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-213.wav|Wouldn't that be something? And who could say it's not true? If you really don't remember anything... how would you know?. We should move.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-214.wav|Are you sure? Who could say it's not true? If you really don't remember anything.... how would you know?. We should move.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-221.wav|It's not that many. Officer, I'm sure you have a lot more cases solved. Now...
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-223.wav|If it helps you work better, okay. See it as competition. But don't expect me to. Now...
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-224.wav|Oh? You will?. Then I will help you to do so. Now...
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-225.wav|It's good we set this thing aside.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-231.wav|I agree. Too dark.
wavs/fixed-Kim Kitsuragi-WHIRLING  KIM MAIN-232.wav|Oh no, it's very imaginable. We fail to place responsibility for the hanging, the harbour company see the situation is out of control so they bring in private military, maybe a gunship, the Union responds in strength. Automatic fire.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-233.wav|Local law enforcement solving one little homicide decides nothing. Not solving it... can have real and calculable effects. Things can always get worse. Matter of fact, augury, we should move.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-234.wav|Which school do you subscribe to, Mambo.... ...or Jambo?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-239.wav|Mental illness.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-240.wav|Hangovers do give officers super-powers. Many drink only to receive the gift.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-244.wav|I didn't know that was even possible. It must be a great burden.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-246.wav|So the 41st Precinct sent you, because you are the most mentally ill out of all the officers at your station?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-249.wav|Then why did they send you?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-251.wav|It's always good to have a police officer who can see and feel.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-256.wav|There is no gift. We should move.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-257.wav|It is good to have a para-detective in a labour dispute. I can see why they sent you, should we go?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-258.wav|I bet you do.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-261.wav|The 41st is known to kill people. Often.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-263.wav|If you could only find your gun.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-267.wav|It's a good thing you found that gun. I can see why they sent you now.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-270.wav|I hope you do.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-275.wav|I've considered it.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-280.wav|There was some interest in this case at my station, but not for the reasons you have in mind. You seem to wish there was...
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-284.wav|As you know, there was considerable interest in this case at my station, but probably not for the reasons you have in mind...
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-288.wav|Yes, it just so happens there's a beautiful, blonde nineteen year old woman at the heart of this case. A rich one, in fact. Part of a murder-sex-cult.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-292.wav|No, not really. Was there anything else?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-293.wav|That's commendable. Was there anything else?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-309.wav|I can assure nothing like that will happen. Do you know why not?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-313.wav|Because it's not part of.... Reality.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-314.wav|No, something isn't happening. Because it's not part of.... Reality.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-317.wav|Good. Yes. Because it's not part of Reality.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-318.wav|Do you know the feeling when you've begun filling in a crossword but some of your answers don't quite seem to fit? That's the feeling I have right now, for some reason...
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-323.wav|It's good to have..... ...an ambidextrous para-detective in a labour dispute. I can see why they sent you, should we go?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-328.wav|A security guard or worker of some sort, hired by Wild Pines. This was just hearsay from Martinaise, of course. We need to find out the truth.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-344.wav|Detective, if I may be frank, you seem to be in a deranged state. You have trouble remembering things. I cannot let you act in the name of the RCM without supervision until you've regained control of your faculties.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-346.wav|I don't know. Containers... contain, I guess. I'm making assumptions. We should move on.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-347.wav|I'm sure you don't. It's just a stupid inter-departmental thing. I'm making assumptions... we should move on.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-354.wav|Except that I do, detective.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-360.wav|You have a.... ...a distinctive way of walking. If I were to walk in front of you, we would surely collide.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-365.wav|I hope you don't take this the wrong way, it's just a collegial observation. In the 57th we call it the 'Jamrock shuffle'. Officers from Jamrock's 41st Precinct tend to move a bit erratically.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-368.wav|They say it's a scene-clearing technique developed by one of your lieutenants for gathering evidence. It's erratic, yet thorough. Prioritises containers.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-370.wav|That would be us. The Revachol Citizens Militia.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-374.wav|You might,. It's important not to let one's style interfere with their work.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-378.wav|Please do,. We wouldn't want your regimen to spill over into the investigation.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-385.wav|Some you time?. This is a police investigation, not a journey of self-discovery. You'll still have your evenings to yourself.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-394.wav|Either way, good on you.. You were saying...?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-398.wav|No-no, it's... okay, I guess.. I may have preferred the mutton chops, they sort of seemed to... cover the...
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-399.wav|Uhhh.... I'm really not sure about this turn of events. I may have preferred the mutton chops. They sort of seemed to... cover up the...
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-400.wav|I'm not really sure about this turn of events. I... think the mutton chops might have been a better idea. They sort of seemed to cover up some of the...
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-404.wav|Just to be clear, we are police officers. It's our job to find the killer. That's the case. Uncover and arrest the killer.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-406.wav|Okay. Well. We are police officers. It is our job to find the killer. So that's what I intend to do. You should try too.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-407.wav|Looks like we have more to discuss with those so-called Hardie boys.. Half their reasoning just went out the window.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-408.wav|I'd appreciate it if you didn't force us into situations where I may have to shoot random civilians. Because that won't get us anywhere.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-409.wav|Alright, we're finished here. Let's quickly debrief and go over what we found, so we don't do it in front of the company rep.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-410.wav|Officer, what was that?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-411.wav|This is not going quite as I hoped it would, detective.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-413.wav|Any theories about what happened here?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-414.wav|We should think about calling it a day, maybe? The nights are still miserably cold this time of year.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-415.wav|When you said before that you were down with racism, was it meant in earnest or were you just trying to win his confidence?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-421.wav|What is this place?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-425.wav|What in the name of hell was that supposed to be?!
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-427.wav|Morning.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-432.wav|You can always use the radio in my Kineema to call your station's lazareth again. Was there anything else you wanted?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-433.wav|Excuse me. I was lecturing you. I shouldn't have. You should consult a medical professional if you feel that you need help.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-457.wav|And what has led you to this conclusion?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-463.wav|That is a common side effect of overindulgence. It will pass.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-464.wav|Teenage nonsense,. You would have had to be ready to use lethal force long ago, when you joined the RCM.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-465.wav|Thus far your memory loss does not seem to be convenient for you or anyone else. Except insofar as you've managed to avoid doing any work.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-466.wav|You wouldn't have been sent to investigate this case if you had close connections with the Union, at least that's the hope. Also,. you don't strike me as a Union man.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-467.wav|Well, we've yet to find any real evidence pointing to you in this case, or even a possible motive, so let's not add you to the list of suspects just yet.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-471.wav|Besides, I doubt you could have taken down a hardened mercenary single-handedly...
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-481.wav|The victim wasn't run over by a drunk driver, so, while I can't condone your driving habits, the cases remain unrelated...
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-482.wav|I find that highly unlikely. It's not unusual for detectives to feel complicit in the crime until the perpetrator is apprehended. Especially when the investigation is dragging. So let's get back to it, shall we?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-483.wav|Don't take it personally, it's just that security guards kept on by large corporations tend to be better trained and better armed than officers of the RCM.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-485.wav|Look, it's not unusual for detectives to feel complicit in the crime until the perpetrator is identified and apprehended. Especially when the investigation is dragging. So let's get back to it, shall we?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-488.wav|I've been meaning to have a little chat with you about your sense of style.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-490.wav|No, it's not a particularly mysterious case.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-491.wav|I'm relieved that you agree,
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-497.wav|Anyhow, let's get back to the case. Was there anything else you wanted to know?
wavs/fixed-Kim Kitsuragi-WHIRLING  KIM MAIN-508.wav|Politics is habit-forming. And hazardous. It is also irrelevant to policework. You are right to doubt the impulse, it might be detrimental to our task here.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-509.wav|Now, was there anything else you wanted to know about the case?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-512.wav|Excellent. Was there anything else?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-514.wav|Good point. Martinaise is famed for its occult sex-murder rites. We'll get on it immediately.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-529.wav|What about me?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-531.wav|I don't see how my life is pertinent to the investigation.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-535.wav|Hmmm, that's a fair point. Alright, for the good of the investigation, what do you want to know?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-536.wav|Binoclard? Is that how they do things over at the 41st? No wonder your clearance rate is so low.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-537.wav|If you insist. What do you want to know?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-543.wav|Good. Let's change the subject.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-545.wav|What do you mean?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-547.wav|I have no idea what you're talking about.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-549.wav|I can't say that it does, no. When I need to think, I just use my notebook...
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-569.wav|Well, sort of. It's less a matter of who gets to police Martinaise than who has to. It's an orphan district, in other words...
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-571.wav|No.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-574.wav|What, think? I do most of my work inside my notebook...
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-576.wav|So, what? That makes you the new school? Gods spare us...
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-577.wav|For real detective work, nothing beats a good notebook by your side...
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-582.wav|Ah, right. Your condition. Nevermind. All I mean to say is that we have a puzzle on our hands, but not all the pieces... yet.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-583.wav|Hmm, perhaps you're a more proficient cruciverbalist than I am. All I mean to say is that we have a puzzle on our hands, but not all the pieces... yet.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-584.wav|It will turn into quite the puzzle yet, I'm afraid...
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-598.wav|I guess you don't need glasses, then.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-601.wav|I can assure you, detective, that I've passed all the required physical exams within the last year. Can you say the same?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-612.wav|Something the matter, detective?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-625.wav|Just because your precinct has a reputation for cracking skulls doesn't mean that's the only way to solve a case... Was there anything else?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-626.wav|That's good to hear. I have little patience for the swinging dick style of police work. It's patience and intelligence that solves cases... Was there anything else?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-628.wav|Okay. What do you think is going on with that computer, chalkboard, and fireplace?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-630.wav|I think we may have this...
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-633.wav|You did well,
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-634.wav|So, the death notification...
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-639.wav|Ah, yes. The case brief you missed. Now I remember.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-647.wav|Okay, let's talk about it. You stole the boots.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-649.wav|Congratulations. That must have taken an enormous, concerted effort. Considerable ingenuity. And timing. Now, I'm going to report you and you're going to go to jail.
wavs/fixed-Kim Kitsuragi-WHIRLING  KIM MAIN-655.wav|Am I?. Anyway, did you want something, related to policework?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-658.wav|It was a joke, sadly. There's nothing I can do about your delinquency.. What's done is done. Let's get back to policework.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-659.wav|Sure.. Anyway, did you want something, related to policework?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-660.wav|It's dark,
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-663.wav|You mean like a brief? Do you want me to brief you?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-666.wav|Okay, I admit to it. The Revolution employed a more forward-looking eight-rotor design. Their blades were foldable and their pilots were better trained and motivated.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-671.wav|What, this?. It's just seasonal clothing.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-673.wav|Where is this going?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-675.wav|Interesting. I think it's called a brain.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-677.wav|I do not harbour a sentiment for revolutionary air brigades in particular.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-679.wav|And now I do,
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-687.wav|Okay. And something happened in that brain?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-688.wav|Good.
wavs/fixed-Kim Kitsuragi-WHIRLING  KIM MAIN-692.wav|Absolutely nothing.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-693.wav|I say this from a purely tactical standpoint of course.
wavs/fixed-Kim Kitsuragi-WHIRLING  KIM MAIN-694.wav|I've noticed, and okay. The Revolution employed a more forward-looking eight-rotor design. Their blades were foldable and their pilots were better trained and motivated.
wavs/fixed-Kim Kitsuragi-WHIRLING  KIM MAIN-695.wav|I do not have a thing with revolutionary air brigades in particular.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-696.wav|Okay. I wanted to become an aerostatic pilot. Then I turned ten and realized we no longer have an air force.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-712.wav|They didn't identify themselves in any way. The tone was muffled using a device of some sort. The desk could identify neither the caller's age nor sex.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-714.wav|Wonderful.. What is your takeaway?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-720.wav|I can't stop a grown man from learning about the fundamental geographic and entroponetic features of our world, can I?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-724.wav|In Elysium,. Behind our eyes. Like all human beings, detective.. The world is what it is. I'm glad to see you're stable. Keep it that way.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-725.wav|Now, was there anything else or should we get to it?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-726.wav|I'm glad to hear that. I'm glad to see you're stable.. Keep it that way. Now, was there anything else, or should we get to it?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-727.wav|It all seems unreal, detective. In actuality, the pale is no more unreal than, say, water. Or death. Or that we're stuck behind our eyes, between our own ears, talking...
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-728.wav|Excuse me. Large topics are not my forte. You seem stable enough. Keep it that way. Now, was there anything else or should we get to it?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-729.wav|Then I was right to spare you from it, no?. Anyway, the pale is no more terrifying than, say, water. Or death. Or that we're stuck behind our eyes, for all eternity...
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-732.wav|That's because I'm half-Seolite. Or quarter. My father's father was from Seol, so was my grandmother, but from my mother's side.... It's not an interesting topic.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-735.wav|Mhm. I don't speak a word of Seolite and I've never met either one of my grandparents. There is nothing ethnic I can tell you. Or anyone else.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-736.wav|It's a part of the world, officer. A geopolitical entity, and a geographic division. I told you it wouldn't be interesting.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-740.wav|I can see you're disappointed.. You're right to be, I don't speak a word of Seolite. I've never met either one of my grandparents. I've never been to Seol. I'm a regular, garden variety Revacholiere.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-741.wav|You're barking up the wrong tree. I don't speak a word of Seolite, I've never met either one of my grandparents. And I've never been to Seol.. I'm a regular Revacholiere.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-750.wav|You mean like a brief? Do you want me to brief you again?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-756.wav|I for one hope I don't have to use my service weapon at all, like a normal police officer.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-757.wav|Of course.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-758.wav|Yes, it's a wholly pointless matter. Forget I ever mentioned it.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-762.wav|So no, I don't think they sent you as a joke. And even if they did, they are in for a surprise.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-764.wav|Safe? No. But you're old. You've made it this far. Something has brought you through. We've only just started working together, so I don't know what it is yet. But it's there.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-765.wav|I checked the records. This jurisdiction dispute, who polices Martinaise, reaches back to the Thirties. It's as old as my station. And all this time we can't decide who gets Martinaise? I think, yes, both stations would prefer a win.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-768.wav|Safe? No. But you're old. You've made it this far. Something has brought you through. I haven't worked with you yet, so I don't know what it is. But it's there.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-769.wav|It would be immensely ugly of them, not to mention unprofessional.... But I also think it's somewhat unlikely.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-771.wav|I am the finest of nothing.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-775.wav|I don't think I can say one way or another. I do think it's somewhat unlikely, though.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-781.wav|They, Klaasje, as we've come to suspect, didn't identify themselves in any way. The tone was muffled using a device of some sort. The desk could identify neither the caller's age nor sex.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-782.wav|Was there anything else you wanted to ask about the competition? If not, we should move.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-800.wav|Are they? They're mostly just cumbersome.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-815.wav|Okay, was there anything else?
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-816.wav|Great. Imagine all the time you'll have for work now, matter of fact, we should get back to it right now.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-827.wav|You didn't stop at all, did you? You're just obsessing about other people's sexuality now.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-834.wav|... but am I? I'll spare you another 20 hour mind-project, yes, I am. Now let's get back to work.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-839.wav|... but am I? I'll spare you another twenty hours thinking about it, yes, I am. Now let's get back to work.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-842.wav|Yes, uhm.... Uhhhh.... I don't know what to say.. Perhaps...
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-846.wav|It's just stupidity.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-853.wav|That's us. The Revachol Citizens Militia. We're the police in this city.
wavs/Kim Kitsuragi-WHIRLING  KIM MAIN-857.wav|Actually it does have to be murder. This is a murder investigation. But we digress.
wavs/Kim Kitsuragi-WHIRLING F2  TEQUILA DOOR-4.wav|It must be an electronic lock. You will have to get Garte, the cafeteria manager, to open it first, after you've paid for the night.
wavs/Kim Kitsuragi-WHIRLING F2  TEQUILA DOOR-20.wav|Our investigation does not at present require for anyone to go undercover. Let's drop this discussion and go settle your debt with the manager.
wavs/Kim Kitsuragi-WHIRLING F2  TEQUILA DOOR-21.wav|I would advise against that. It's already late, and you won't find cheaper accommodation in the vicinity.
wavs/Kim Kitsuragi-WHIRLING F2  TEQUILA DOOR-22.wav|Yes, we both need to get proper rest tonight.
wavs/Kim Kitsuragi-WHIRLING F2  TEQUILA DOOR-25.wav|Even if you could break down the door, all you would get is another bill.
wavs/Kim Kitsuragi-WHIRLING F2  TEQUILA DOOR-29.wav|Admirable form. Now come on, let's go down.
wavs/Kim Kitsuragi-WHIRLING F2  TEQUILA DOOR-31.wav|Come on, let's go down.
wavs/Kim Kitsuragi-WHIRLING F2  TEQUILA DOOR-63.wav|Come on, let's go down.
